category,supplier_sum,sold_qty,sold_cost,sold_sum,return_qty,return_cost,return_sum,revenue,profit
Ігри,6608.6,145.0,6909.76,11656.41,1.0,26.63,45.0,11611.41,4728.28
Інші,90.54,1.0,15.09,30.0,0.0,0.0,0.0,30.0,14.91
Канцтовари,2982.05,180.0,3036.82,5536.75,0.0,0.0,0.0,5536.75,2499.93
Книга,32303.77,816.0,24813.19,40822.86,3.0,136.89,229.0,40593.86,15917.56
Конструктори,2341.07,53.0,3953.25,6687.82,0.0,0.0,0.0,6687.82,2734.57
Музика,0.0,1.0,39.38,63.1,0.0,0.0,0.0,63.1,23.72
Наочні посібники,919.4,101.0,1610.28,2579.42,0.0,0.0,0.0,2579.42,969.14
Наука,2526.38,13.0,971.73,1569.17,0.0,0.0,0.0,1569.17,597.44
Пакет,0.0,4.0,38.01,72.0,0.0,0.0,0.0,72.0,33.99
Спорт,0.0,1.0,23.57,45.0,0.0,0.0,0.0,45.0,21.43
