category,supplier_sum,sold_qty,sold_cost,sold_sum,revenue,profit
Іграшки,3991.9,90.0,7377.47,12200.31,12200.31,4822.84
Ігри,5714.81,69.0,5403.57,9003.77,9003.77,3600.2
Інші,0.0,0.0,0.0,0.0,0.0,0.0
Канцтовари,3200.25,78.0,1833.68,3309.74,3309.74,1476.06
Книга,11374.59,289.0,14004.32,22380.66,22380.66,8376.34
Конструктори,180.6,16.0,2601.87,4364.69,4364.69,1762.82
Музика,0.0,0.0,0.0,0.0,0.0,0.0
Наочні посібники,454.49,19.0,376.22,604.11,604.11,227.89
Наука,114.4,1.0,236.16,369.0,369.0,132.84
Пакет,0.0,0.0,0.0,0.0,0.0,0.0
Творчість,5008.71,112.0,6416.95,11420.71,11420.71,5003.76
