changepoint_prior_scale,seasonality_prior_scale,seasonality_mode,yearly_seasonality,mae,rmse,mape
0.001,0.01,additive,10,25463.624846591843,27062.74635594103,34.7317856552983
0.001,0.01,additive,15,19989.538022131223,21573.26367972887,27.933200324049974
0.001,0.01,additive,20,22510.661518783734,23381.837819151784,30.71684905673803
0.001,0.01,multiplicative,10,37343.8951446694,40562.05066054788,48.825494117460075
0.001,0.01,multiplicative,15,37207.29665908115,40152.34126929759,48.69736101675603
0.001,0.01,multiplicative,20,36798.23989230449,39622.28977304588,48.241980661048764
0.001,0.1,additive,10,24477.1288340579,31868.39860345943,27.242674470189556
0.001,0.1,additive,15,21143.057600488108,28239.300142063785,23.477698819314295
0.001,0.1,additive,20,21899.305216419914,29224.477447189314,24.30212333310494
0.001,0.1,multiplicative,10,28527.27429463385,31934.18786865259,34.51102833107447
0.001,0.1,multiplicative,15,27398.76810206081,31392.57196584637,32.671043933801485
0.001,0.1,multiplicative,20,27695.19045590452,31806.361318358337,32.90767305745849
0.001,1.0,additive,10,27713.95703920985,35443.971314224764,31.25485724484139
0.001,1.0,additive,15,17709.69344471493,23667.267072534207,20.16327316636917
0.001,1.0,additive,20,18162.171185830226,24335.583717030404,20.574942828656454
0.001,1.0,multiplicative,10,28845.424357812084,34607.6096209806,33.37070320338653
0.001,1.0,multiplicative,15,18253.599677119273,22792.645593485013,21.393943156499027
0.001,1.0,multiplicative,20,18720.90942563664,23463.66926031538,21.842498422956393
0.001,10.0,additive,10,27046.6969725564,34154.482329541366,30.767443078540484
0.001,10.0,additive,15,16184.269921976831,19472.39723142939,19.984002049746056
0.001,10.0,additive,20,15832.676106960678,19017.056126345757,19.801361941745345
0.001,10.0,multiplicative,10,29711.901752151196,35446.01571272874,34.78396549142586
0.001,10.0,multiplicative,15,18198.281542704226,22753.545252124877,21.40517350597192
0.001,10.0,multiplicative,20,17500.21480940042,21923.21282789706,20.588832653996743
0.01,0.01,additive,10,26192.35717781722,27682.019677253247,35.85237166303485
0.01,0.01,additive,15,22459.19334212159,24430.332909244447,31.769586109224907
0.01,0.01,additive,20,21996.22475322062,22826.578258457186,29.68470995500722
0.01,0.01,multiplicative,10,33402.44855685304,37822.389390294935,42.98247064893819
0.01,0.01,multiplicative,15,33823.25464013314,37706.75978052271,43.689246826851594
0.01,0.01,multiplicative,20,33607.74761369704,37267.053542307076,43.53165053338663
0.01,0.1,additive,10,24485.346968892296,31856.1265352479,27.260295639401726
0.01,0.1,additive,15,21621.58349094534,28649.571883828474,24.086231791902726
0.01,0.1,additive,20,21902.27961868749,29220.722957962775,24.30461385176047
0.01,0.1,multiplicative,10,28212.840968987675,30833.300125520196,34.71848380186932
0.01,0.1,multiplicative,15,27323.14685049876,31329.344371285264,32.568801226702554
0.01,0.1,multiplicative,20,27415.004948084697,31674.939162193223,32.465382030045525
0.01,1.0,additive,10,27525.65846574285,34869.78347001538,31.27615406998468
0.01,1.0,additive,15,18002.781666683608,24145.434694264062,20.419072717959533
0.01,1.0,additive,20,18310.259507329232,24437.518246911797,20.81075416679639
0.01,1.0,multiplicative,10,28718.20622807449,34054.53672515312,33.56083193412687
0.01,1.0,multiplicative,15,18013.531074993156,22459.38738512684,21.132947712786013
0.01,1.0,multiplicative,20,18089.6565303672,22580.35366858006,21.200147468955286
0.01,10.0,additive,10,27624.240569399994,35001.964405517116,31.43919399720024
0.01,10.0,additive,15,16237.133757060908,19483.901707789217,20.066852911464316
0.01,10.0,additive,20,15827.38483478805,19019.153410301802,19.791388688852543
0.01,10.0,multiplicative,10,29594.321077255638,35383.84927252717,34.658041120967894
0.01,10.0,multiplicative,15,16461.930094721105,19188.242707160734,21.02503804396317
0.01,10.0,multiplicative,20,17290.26656335763,21658.884392159594,20.40800328203444
0.1,0.01,additive,10,26286.628833505038,27768.655476239048,35.98847426999917
0.1,0.01,additive,15,22601.257231396125,24590.412479984723,31.986282156140284
0.1,0.01,additive,20,26330.91366712279,27073.16700595941,35.35212273948142
0.1,0.01,multiplicative,10,33665.98637230584,37996.84331197761,43.37411401272928
0.1,0.01,multiplicative,15,33855.85745869758,37729.19413959977,43.73772011820251
0.1,0.01,multiplicative,20,33599.738053851535,37260.695237004664,43.52020733395741
0.1,0.1,additive,10,17277.885970312604,23142.375543616534,19.15593674160899
0.1,0.1,additive,15,15622.960776669737,21654.273100812567,17.176546781577294
0.1,0.1,additive,20,15986.478473580288,22506.88733624316,17.35403656308462
0.1,0.1,multiplicative,10,8351.925448236363,10207.456849985441,11.637944429290615
0.1,0.1,multiplicative,15,9881.337889471133,12125.379514293114,13.922802011934163
0.1,0.1,multiplicative,20,12213.04009803591,14421.148270311443,17.041079760342104
0.1,1.0,additive,10,18992.028253145952,26041.80516071404,20.773193918703363
0.1,1.0,additive,15,21384.863392368385,27549.139273937137,24.641190014858015
0.1,1.0,additive,20,21417.246294212393,27556.826749147913,24.678648950147505
0.1,1.0,multiplicative,10,15632.05033126163,18251.04618138666,21.643761157956305
0.1,1.0,multiplicative,15,39197.20697996335,40907.802688291245,51.252871068813
0.1,1.0,multiplicative,20,39116.34530634301,40654.79274007352,51.37144955135812
0.1,10.0,additive,10,19060.158873792458,25763.638646539137,21.073482173135652
0.1,10.0,additive,15,16309.87969354514,19741.840913664597,20.118341278736896
0.1,10.0,additive,20,16023.609323589102,19462.655490301295,20.00218532978664
0.1,10.0,multiplicative,10,16638.36361578718,19098.3449114751,22.989161209398958
0.1,10.0,multiplicative,15,38536.45551832396,40337.23198849263,50.73576530810542
0.1,10.0,multiplicative,20,39042.56539457337,40788.73639099652,51.68353619736362
0.5,0.01,additive,10,29933.290846722677,31899.498766364468,37.26160280418744
0.5,0.01,additive,15,40109.908848447594,43732.28587493705,57.11829523564016
0.5,0.01,additive,20,42184.73176784179,46596.01025896292,61.22331780488549
0.5,0.01,multiplicative,10,19761.019008465104,34465.76923999331,19.10960912098544
0.5,0.01,multiplicative,15,20094.1263041052,34301.98153593481,19.684756906890126
0.5,0.01,multiplicative,20,21025.518165114718,34471.90730958897,20.9594042554236
0.5,0.1,additive,10,42843.49159643567,46780.40616532532,60.54259708503801
0.5,0.1,additive,15,45200.327790372896,49440.09486956557,64.39770439809584
0.5,0.1,additive,20,45418.234487271984,49634.651163028204,64.55045613761314
0.5,0.1,multiplicative,10,43828.60829772773,45802.29354136315,56.70964519687821
0.5,0.1,multiplicative,15,42794.68350837124,44744.50150510217,55.54338811864624
0.5,0.1,multiplicative,20,42823.581393434295,44680.109712221325,55.70723021960543
0.5,1.0,additive,10,39611.55605222102,44392.10846290735,55.89300475449327
0.5,1.0,additive,15,46226.208075667906,50901.65748882448,65.95341658776915
0.5,1.0,additive,20,47232.90669596539,52237.742611357186,67.62256854853989
0.5,1.0,multiplicative,10,41419.19792851224,43085.025783864054,54.25455623164294
0.5,1.0,multiplicative,15,40774.58563123627,42651.73322164504,53.52859394195172
