order,seasonal_order,mape,mae,rmse,aic,bic
"(0, 0, 0)","(0, 0, 1, 12)",80.8109770777727,71279.63017227611,87290.36257087468,1758.7236380155728,1763.1626534259249
"(0, 0, 0)","(0, 1, 0, 12)",16.73875141791403,14241.427499999998,17999.640278113195,1689.383347215111,1691.602854920287
"(0, 0, 0)","(0, 1, 1, 12)",35.748029160883206,28824.40509533795,32440.651818705996,1395.660068143713,1399.7107715251834
"(0, 0, 0)","(1, 0, 0, 12)",10.986651276645526,8585.933004907181,10294.235055284349,1708.421500297873,1712.8897133070675
"(0, 0, 0)","(1, 0, 1, 12)",12.761295546056289,10677.585077656817,13568.970616951836,1686.7050495970486,1693.363572712577
"(0, 0, 0)","(1, 1, 0, 12)",47.05796510580835,40119.40676322315,47524.815419818355,1416.1140697360706,1420.2001722717398
"(0, 0, 0)","(1, 1, 1, 12)",37.662203121995944,30495.736086783454,34215.37866546817,1394.2747709350292,1400.3508260072347
"(0, 0, 0)","(2, 0, 0, 12)",26.738330000298422,23049.23142499983,29190.207961511584,1414.3300946435015,1420.4592484470052
"(0, 0, 0)","(2, 0, 1, 12)",28.7430722528737,23561.649668694463,27197.435987736797,1415.503156674889,1423.675361746227
"(0, 0, 0)","(2, 1, 0, 12)",34.21064339370982,25819.271549488378,31561.939096185397,1124.105302642197,1129.525290111508
"(0, 0, 0)","(2, 1, 1, 12)",34.74561763207868,26469.23820488354,32934.91379996808,1126.114941815961,1133.3415917750422
"(0, 0, 1)","(0, 0, 0, 12)",96.86828361716476,80164.7961996831,87270.9040045625,2054.336225040328,2059.0751207452618
"(0, 0, 1)","(0, 0, 1, 12)",78.11348328596378,68466.148092776,83541.94851883552,1725.0107901582817,1731.6248680164547
"(0, 0, 1)","(0, 1, 0, 12)",16.76094114231194,14261.866270968196,18007.949535353342,1653.1116873558647,1657.5210725946465
"(0, 0, 1)","(0, 1, 1, 12)",34.442508683108834,27786.17565513772,31920.80237183383,1358.3019868088422,1364.3239863645397
"(0, 0, 1)","(1, 0, 0, 12)",11.990660349488712,9148.63815444957,10947.171846440424,1767.4098428827908,1774.1121623965826
"(0, 0, 1)","(1, 0, 1, 12)",12.680900974684953,10505.802204947175,12348.829004719306,1718.5264744374315,1727.3452449149954
"(0, 0, 1)","(1, 1, 0, 12)",42.51266994211117,36150.88211292681,43897.10554019019,1408.397574907462,1414.5267287109657
"(0, 0, 1)","(1, 1, 1, 12)",33.774210767278696,27194.054364193886,31295.60811337516,1360.2975455950111,1368.326878335941
"(0, 0, 1)","(2, 0, 0, 12)",18.687178626039845,16200.425090017656,22563.06139136124,1463.4205901477928,1471.592795219131
"(0, 0, 1)","(2, 0, 1, 12)",19.488544956580082,16212.353066139252,20481.10123896206,1465.3729815078848,1475.5882378470576
"(0, 0, 1)","(2, 1, 0, 12)",32.154907489878504,24574.547852883567,29119.885544895827,1121.2086997767708,1128.435349735852
"(0, 0, 1)","(2, 1, 1, 12)",31.449235395388026,23766.89717359027,29319.056081635663,1122.0954052608922,1131.1287177097438
"(0, 0, 2)","(0, 0, 0, 12)",95.35476424039196,78943.47718401054,86165.9836259487,2016.2643915498109,2023.3345180298795
"(0, 0, 2)","(0, 0, 1, 12)",76.614935942064,65986.19100877488,77328.47601582059,1692.851920446678,1701.6105394147837
"(0, 0, 2)","(0, 1, 0, 12)",16.565528841230513,14186.211230397874,17345.31776603122,1616.3047944825976,1622.8737587086769
"(0, 0, 2)","(0, 1, 1, 12)",33.48055805451358,26967.443118515308,30703.48559159892,1323.0681334909273,1331.0240696771843
"(0, 0, 2)","(1, 0, 0, 12)",12.272213561575827,9352.199996986126,12454.233209172477,1762.8178103205205,1771.7542363389095
